"Source:","/Users/gwyllymsuter/Library/Mobile Documents/com~apple~CloudDocs/Documents/Ole electronics stuff /EDUC-8 KiCAD/EDUC_8 Main computer/Power Supply/EDUC-8 PSU.kicad_sch"
"Date:","Monday, 01 April 2024 at 10:43:54 am"
"Tool:","Eeschema (6.0.4-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","4700uF","EDUC-8-PSU-rescue:CP-Device","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn",""
"","","C2","4700uF","EDUC-8-PSU-rescue:CP-Device","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn",""
"","","C5","47nF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C6","47nF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C7","22nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm","~"
"","","C8","470uF 10V","EDUC-8-PSU-rescue:CP-Device","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","D1","1N5404","Diode:1N5404","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D2","1N5404","Diode:1N5404","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D3","1N5404","Diode:1N5404","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D4","1N5404","Diode:1N5404","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D5","5.6V","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"","","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Cylinder-6.3x32mm_Schurter_0031-8002_Horizontal_Open","~"
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
"","","H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
"","","H6","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
"","","J1","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J2","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J3","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J4","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J5","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J6","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J7","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J8","Conn_01x01_Male","Connector:Conn_01x01_Male","dBSound_library:QC_Terminal_PCB_W6.3mm_P5mm_","~"
"","","J9","DC","Connector:Conn_01x02_Female","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical","~"
"","","J10","+5V","Connector:Conn_01x02_Female","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical","~"
"","","J11","GND","Connector:Conn_01x02_Female","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical","~"
"","","Q1","2N3055","Transistor_BJT:2N3055","Package_TO_SOT_THT:TO-3","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
