Time [s],T0+T12,/T0.5,T1,T2-9,T13,T14-21,T22.5,T23
-0.000017125,0,1,0,0,0,0,0,0
-0.000016083,1,1,0,0,0,0,0,0
-0.000016042,1,1,0,0,1,0,0,0
-0.000014583,1,1,0,0,0,1,0,0
-0.000002917,1,1,0,0,0,0,0,0
-0.000002000,1,1,0,0,0,0,1,0
-0.000001458,1,1,0,0,0,0,0,1
0.000000000,0,1,0,0,0,0,0,1
0.000000042,0,1,0,0,0,0,0,0
0.000002417,0,0,0,0,0,0,0,0
0.000002875,1,0,0,0,0,0,0,0
0.000002917,1,1,1,0,0,0,0,0
0.000004333,1,1,0,1,0,0,0,0
0.000016000,1,1,0,0,0,0,0,0
0.000018875,0,1,0,0,0,0,0,0
0.000020333,1,1,0,0,0,0,0,0
0.000020375,1,1,0,0,1,0,0,0
0.000021833,1,1,0,0,0,1,0,0
0.000033500,1,1,0,0,0,0,0,0
0.000034417,1,1,0,0,0,0,1,0
0.000034958,1,1,0,0,0,0,0,1
0.000036417,0,1,0,0,0,0,0,1
0.000036458,0,1,0,0,0,0,0,0
0.000038833,0,0,0,0,0,0,0,0
0.000039292,1,0,0,0,0,0,0,0
0.000039333,1,1,1,0,0,0,0,0
0.000040750,1,1,0,1,0,0,0,0
0.000052417,1,1,0,0,0,0,0,0
0.000055292,0,1,0,0,0,0,0,0
0.000056750,1,1,0,0,0,0,0,0
0.000056792,1,1,0,0,1,0,0,0
0.000058250,1,1,0,0,0,1,0,0
0.000069917,1,1,0,0,0,0,0,0
0.000070833,1,1,0,0,0,0,1,0
0.000071375,1,1,0,0,0,0,0,1
0.000072833,0,1,0,0,0,0,0,1
0.000072875,0,1,0,0,0,0,0,0
0.000075250,0,0,0,0,0,0,0,0
0.000075708,1,0,0,0,0,0,0,0
0.000075750,1,1,1,0,0,0,0,0
0.000077167,1,1,0,1,0,0,0,0
0.000088833,1,1,0,0,0,0,0,0
0.000091708,0,1,0,0,0,0,0,0
0.000093167,1,1,0,0,0,0,0,0
0.000093208,1,1,0,0,1,0,0,0
0.000094667,1,1,0,0,0,1,0,0
0.000106333,1,1,0,0,0,0,0,0
0.000107250,1,1,0,0,0,0,1,0
0.000107792,1,1,0,0,0,0,0,1
0.000109250,0,1,0,0,0,0,0,1
0.000109292,0,1,0,0,0,0,0,0
0.000111667,0,0,0,0,0,0,0,0
0.000112125,1,0,0,0,0,0,0,0
0.000112167,1,1,1,0,0,0,0,0
0.000113583,1,1,0,1,0,0,0,0
0.000125250,1,1,0,0,0,0,0,0
0.000128125,0,1,0,0,0,0,0,0
0.000129583,1,1,0,0,0,0,0,0
0.000129625,1,1,0,0,1,0,0,0
0.000131083,1,1,0,0,0,1,0,0
0.000142750,1,1,0,0,0,0,0,0
0.000143667,1,1,0,0,0,0,1,0
0.000144208,1,1,0,0,0,0,0,1
0.000145667,0,1,0,0,0,0,0,1
0.000145708,0,1,0,0,0,0,0,0
0.000148083,0,0,0,0,0,0,0,0
0.000148542,1,0,0,0,0,0,0,0
0.000148583,1,1,1,0,0,0,0,0
0.000150000,1,1,0,1,0,0,0,0
0.000161667,1,1,0,0,0,0,0,0
0.000164542,0,1,0,0,0,0,0,0
0.000166000,1,1,0,0,0,0,0,0
