Source:,/Users/gwyllymsuter/Library/Mobile Documents/com~apple~CloudDocs/Documents/Ole electronics stuff /EDUC-8 KiCAD/EDUC_8 Main computer/Timing/educ 8 timing .kicad_sch,,,,,
Date:,"Monday, 01 April 2024 at 11:49:19 am",,,,,
Tool:,Eeschema (6.0.4-0),,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,44,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,220pF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,C2,47uF,educ-8-timing--rescue:CP-Device,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,
,,C3,47nF,Device:C,Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal,~
,,C4,47nF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,C5,47nF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,C6,1uF,Device:C,Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal,~
,,C7,47nF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,C8,47nF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,C9,1uF,Device:C,Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal,~
,,C10,47nF,Device:C,Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm,~
,,H1,Card_handle,educ-8-timing--rescue:Card_handle-EDUC-8,EDUC-8:Card_handle,
,,H2,Card_handle,educ-8-timing--rescue:Card_handle-EDUC-8,EDUC-8:Card_handle,
,,J1,32-way-pcb-edge-Educ-8-connectors,educ-8-timing--rescue:32-way-pcb-edge-Educ-8-connectors-EDUC-8,Connector_PCBEdge:PCB_32pin,
,,J2,CLK,Connector:Conn_01x01_Male,Connector_Pin:Pin_D1.0mm_L10.0mm,~
,,J3,~RST,Connector:Conn_01x01_Male,Connector_Pin:Pin_D1.0mm_L10.0mm,~
,,Q1,BC108,Transistor_BJT:BC108,Package_TO_SOT_THT:TO-18-3,http://www.b-kainka.de/Daten/Transistor/BC108.pdf
,,R1,2k2,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R2,470R,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R3,10k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R4,2K2,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R5,100K,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R6,2k2,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,R7,2k2,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,,U1,74LS20,74xx:74LS20,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS20
,,U2,74LS00,74xx:74LS00,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U3,74LS04,74xx:74LS04,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS04
,,U4,74LS10,74xx:74LS10,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS10
,,U5,74LS161,74xx:74LS161,Package_DIP:DIP-16_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS161
,,U6,74LS13,74xx:74LS13,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS13
,,U7,74LS00,74xx:7400,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U8,74LS00,74xx:74LS00,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U9,74LS00,74xx:74LS00,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U10,74LS00,74xx:74LS00,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U11,74154,74xx_IEEE:74154,Package_DIP:DIP-24_W15.24mm_LongPads,
,,U12,74LS73,74xx:74LS73,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS73
,,U13,74LS00,74xx:7400,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U14,74LS73,74xx:74LS73,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS73
,,U15,74LS04,74xx:74LS04,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS04
,,U16,74LS00,74xx:74LS00,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn7400
,,U17,74LS04,74xx:74LS04,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/gpn/sn74LS04
